GO-Elite ORA Results
File:
Table:
Database: Based on OBO-Database version: 6/14/2011
colors:
10/23/2023
Homo sapiens
Pvalues = true
Calculation Summary:
540 Ensembl source identifiers supplied in the input file:turquoise_Module.txt
540 source identifiers meeting the filter linked to a Ensembl ID.
537 genes meeting the criterion linked to a term.
1739 source identifiers in this dataset.
1739 source identifiers linked to a Ensembl ID.
1730 Genes linked to a term.
The z score is based on an N of 1730 and a R of 537 distinct genes in all terms.

Ontology-ID	Ontology Name	Ontology Type	Number Changed	Number Measured	Number in Ontology	Percent Changed	Percent Present	Z Score	PermuteP	AdjustedP
GO:0044429	mitochondrial part	cellular_component	128	156	870	82.0512820513	17.9310344828	14.4330618239	0.0	0.0374379844961
GO:0031966	mitochondrial membrane	cellular_component	92	108	526	85.1851851852	20.5323193916	12.5567955229	0.0	0.0374379844961
GO:0005743	mitochondrial inner membrane	cellular_component	77	83	368	92.7710843373	22.5543478261	12.4545813592	0.0	0.0374379844961
GO:0019866	organelle inner membrane	cellular_component	77	85	406	90.5882352941	20.9359605911	12.1654525728	0.0	0.0374379844961
GO:0005739	mitochondrion	cellular_component	149	264	1473	56.4393939394	17.9226069246	9.68694112857	0.0	0.0374379844961
GO:0022904	respiratory electron transport chain	biological_process	31	33	128	93.9393939394	25.78125	7.88307306429	0.0	0.0374379844961
GO:0022900	electron transport chain	biological_process	31	33	131	93.9393939394	25.1908396947	7.88307306429	0.0	0.0374379844961
GO:0005759	mitochondrial matrix	cellular_component	45	59	254	76.2711864407	23.2283464567	7.63849072378	0.0	0.0374379844961
GO:0016491	oxidoreductase activity	molecular_function	92	160	798	57.5	20.0501253133	7.59151841851	0.0	0.0374379844961
GO:1990204	oxidoreductase complex	cellular_component	30	33	102	90.9090909091	32.3529411765	7.50328759543	0.0	0.0374379844961
GO:0055114	oxidation-reduction process	biological_process	114	217	1050	52.534562212	20.6666666667	7.3158686367	0.0	0.0374379844961
GO:0044455	mitochondrial membrane part	cellular_component	27	30	180	90.0	16.6666666667	7.03925131086	0.0	0.0374379844961
