GeneID	Symbol	Description	#GO-Terms Associated	Percent GO-Terms Associated	UID-str	GO Names
ENSG00000169032	MAP2K1	mitogen-activated protein kinase kinase 1 [Source:HGNC Symbol;Acc:HGNC:6840]	17	0.772727272727	ENSG00000169032	Toll-like receptor signaling pathway:WP75 // IL-5 Signaling Pathway:WP127 // IL-2 Signaling Pathway:WP49 // TSLP Signaling Pathway:WP2203 // Signaling of Hepatocyte Growth Factor Receptor:WP313 // Regulation of toll-like receptor signaling pathway:WP1449 // Leptin signaling pathway:WP2034 // IL-1 signaling pathway:WP195 // TCR Signaling Pathway:WP69 // IL-3 Signaling Pathway:WP286 // Kit receptor signaling pathway:WP304 // EGF/EGFR Signaling Pathway:WP437 // IL-6 signaling pathway:WP364 // B Cell Receptor Signaling Pathway:WP23 // MAPK Signaling Pathway:WP382 // Aryl Hydrocarbon Receptor:WP2586 // Cardiac Hypertrophic Response:WP2795
ENSG00000100030	MAPK1	mitogen-activated protein kinase 1 [Source:HGNC Symbol;Acc:HGNC:6871]	17	0.772727272727	ENSG00000100030	Toll-like receptor signaling pathway:WP75 // IL-5 Signaling Pathway:WP127 // IL-2 Signaling Pathway:WP49 // TSLP Signaling Pathway:WP2203 // Signaling of Hepatocyte Growth Factor Receptor:WP313 // Regulation of toll-like receptor signaling pathway:WP1449 // Leptin signaling pathway:WP2034 // IL-1 signaling pathway:WP195 // TCR Signaling Pathway:WP69 // IL-3 Signaling Pathway:WP286 // Kit receptor signaling pathway:WP304 // EGF/EGFR Signaling Pathway:WP437 // IL-6 signaling pathway:WP364 // B Cell Receptor Signaling Pathway:WP23 // MAPK Signaling Pathway:WP382 // Aryl Hydrocarbon Receptor:WP2586 // Cardiac Hypertrophic Response:WP2795
ENSG00000126934	MAP2K2	mitogen-activated protein kinase kinase 2 [Source:HGNC Symbol;Acc:HGNC:6842]	15	0.681818181818	ENSG00000126934	Toll-like receptor signaling pathway:WP75 // IL-5 Signaling Pathway:WP127 // IL-2 Signaling Pathway:WP49 // TSLP Signaling Pathway:WP2203 // Signaling of Hepatocyte Growth Factor Receptor:WP313 // Regulation of toll-like receptor signaling pathway:WP1449 // Leptin signaling pathway:WP2034 // IL-1 signaling pathway:WP195 // TCR Signaling Pathway:WP69 // Kit receptor signaling pathway:WP304 // EGF/EGFR Signaling Pathway:WP437 // IL-6 signaling pathway:WP364 // B Cell Receptor Signaling Pathway:WP23 // MAPK Signaling Pathway:WP382 // Cardiac Hypertrophic Response:WP2795
ENSG00000102882	MAPK3	mitogen-activated protein kinase 3 [Source:HGNC Symbol;Acc:HGNC:6877]	14	0.636363636364	ENSG00000102882	Toll-like receptor signaling pathway:WP75 // IL-5 Signaling Pathway:WP127 // IL-2 Signaling Pathway:WP49 // TSLP Signaling Pathway:WP2203 // Signaling of Hepatocyte Growth Factor Receptor:WP313 // Regulation of toll-like receptor signaling pathway:WP1449 // Leptin signaling pathway:WP2034 // IL-1 signaling pathway:WP195 // TCR Signaling Pathway:WP69 // IL-3 Signaling Pathway:WP286 // Kit receptor signaling pathway:WP304 // IL-6 signaling pathway:WP364 // MAPK Signaling Pathway:WP382 // Cardiac Hypertrophic Response:WP2795
ENSG00000179295	PTPN11	protein tyrosine phosphatase, non-receptor type 11 [Source:HGNC Symbol;Acc:HGNC:9644]	12	0.545454545455	ENSG00000179295	IL-5 Signaling Pathway:WP127 // IL-2 Signaling Pathway:WP49 // TSLP Signaling Pathway:WP2203 // Signaling of Hepatocyte Growth Factor Receptor:WP313 // Leptin signaling pathway:WP2034 // IL-1 signaling pathway:WP195 // TCR Signaling Pathway:WP69 // IL-3 Signaling Pathway:WP286 // Kit receptor signaling pathway:WP304 // EGF/EGFR Signaling Pathway:WP437 // IL-6 signaling pathway:WP364 // B Cell Receptor Signaling Pathway:WP23
ENSG00000177885	GRB2	growth factor receptor-bound protein 2 [Source:HGNC Symbol;Acc:HGNC:4566]	11	0.5	ENSG00000177885	IL-5 Signaling Pathway:WP127 // IL-2 Signaling Pathway:WP49 // Signaling of Hepatocyte Growth Factor Receptor:WP313 // Leptin signaling pathway:WP2034 // TCR Signaling Pathway:WP69 // IL-3 Signaling Pathway:WP286 // Kit receptor signaling pathway:WP304 // EGF/EGFR Signaling Pathway:WP437 // IL-6 signaling pathway:WP364 // B Cell Receptor Signaling Pathway:WP23 // MAPK Signaling Pathway:WP382
ENSG00000099942	CRKL	v-crk avian sarcoma virus CT10 oncogene homolog-like [Source:HGNC Symbol;Acc:HGNC:2363]	8	0.363636363636	ENSG00000099942	IL-2 Signaling Pathway:WP49 // Signaling of Hepatocyte Growth Factor Receptor:WP313 // TCR Signaling Pathway:WP69 // IL-3 Signaling Pathway:WP286 // Kit receptor signaling pathway:WP304 // EGF/EGFR Signaling Pathway:WP437 // B Cell Receptor Signaling Pathway:WP23 // MAPK Signaling Pathway:WP382
ENSG00000010810	FYN	FYN proto-oncogene, Src family tyrosine kinase [Source:HGNC Symbol;Acc:HGNC:4037]	8	0.363636363636	ENSG00000010810	IL-2 Signaling Pathway:WP49 // TSLP Signaling Pathway:WP2203 // Leptin signaling pathway:WP2034 // TCR Signaling Pathway:WP69 // Pathogenic Escherichia coli infection:KEGG-hsa05130:WP2272 // IL-3 Signaling Pathway:WP286 // Kit receptor signaling pathway:WP304 // B Cell Receptor Signaling Pathway:WP23
ENSG00000065559	MAP2K4	mitogen-activated protein kinase kinase 4 [Source:HGNC Symbol;Acc:HGNC:6844]	7	0.318181818182	ENSG00000065559	Wnt Signaling Pathway and Pluripotency:WP399 // Toll-like receptor signaling pathway:WP75 // Regulation of toll-like receptor signaling pathway:WP1449 // IL-1 signaling pathway:WP195 // IL-6 signaling pathway:WP364 // MAPK Signaling Pathway:WP382 // Cardiac Hypertrophic Response:WP2795
ENSG00000167193	CRK	v-crk avian sarcoma virus CT10 oncogene homolog [Source:HGNC Symbol;Acc:HGNC:2362]	6	0.272727272727	ENSG00000167193	Signaling of Hepatocyte Growth Factor Receptor:WP313 // TCR Signaling Pathway:WP69 // Kit receptor signaling pathway:WP304 // EGF/EGFR Signaling Pathway:WP437 // B Cell Receptor Signaling Pathway:WP23 // MAPK Signaling Pathway:WP382
ENSG00000166501	PRKCB	protein kinase C, beta [Source:HGNC Symbol;Acc:HGNC:9395]	5	0.227272727273	ENSG00000166501	Wnt Signaling Pathway and Pluripotency:WP399 // Kit receptor signaling pathway:WP304 // EGF/EGFR Signaling Pathway:WP437 // B Cell Receptor Signaling Pathway:WP23 // MAPK Signaling Pathway:WP382
ENSG00000198793	MTOR	mechanistic target of rapamycin (serine/threonine kinase) [Source:HGNC Symbol;Acc:HGNC:3942]	4	0.181818181818	ENSG00000198793	TSLP Signaling Pathway:WP2203 // Leptin signaling pathway:WP2034 // EGF/EGFR Signaling Pathway:WP437 // Cardiac Hypertrophic Response:WP2795
ENSG00000186868	MAPT	microtubule-associated protein tau [Source:HGNC Symbol;Acc:HGNC:6893]	4	0.181818181818	ENSG00000186868	IL-5 Signaling Pathway:WP127 // IL-2 Signaling Pathway:WP49 // Kit receptor signaling pathway:WP304 // MAPK Signaling Pathway:WP382
ENSG00000149269	PAK1	p21 protein (Cdc42/Rac)-activated kinase 1 [Source:HGNC Symbol;Acc:HGNC:8590]	4	0.181818181818	ENSG00000149269	Signaling of Hepatocyte Growth Factor Receptor:WP313 // TCR Signaling Pathway:WP69 // EGF/EGFR Signaling Pathway:WP437 // MAPK Signaling Pathway:WP382
ENSG00000109339	MAPK10	mitogen-activated protein kinase 10 [Source:HGNC Symbol;Acc:HGNC:6872]	4	0.181818181818	ENSG00000109339	Wnt Signaling Pathway and Pluripotency:WP399 // Toll-like receptor signaling pathway:WP75 // Regulation of toll-like receptor signaling pathway:WP1449 // MAPK Signaling Pathway:WP382
ENSG00000134308	YWHAQ	tyrosine 3-monooxygenase/tryptophan 5-monooxygenase activation protein, theta [Source:HGNC Symbol;Acc:HGNC:12854]	3	0.136363636364	ENSG00000134308	Pathogenic Escherichia coli infection:KEGG-hsa05130:WP2272 // IL-3 Signaling Pathway:WP286 // Cell Cycle:WP179
